in.county,hdd,cdd,switchover_lt15,switchover_lt20,switchover_lt25,switchover_lt30,switchover_lt35,switchover_lt40
G1700610,5646.945,1330.365,879.295,1375.5325,1990.405,2737.2275,3468.07,4179.755
G1700630,6924.675,973.6425,1798.9375,2510.1525,3147.6525,3818.725,4530.86,5303.36
G1700650,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1700670,5548.09,1360.96,814.86,1200.785,1798.1325,2510.6625,3419.8775,4150.7325
G1700690,4011.845,1614.425,82.27,205.885,553.8775,922.075,1599.5825,2386.5175
G1700710,5785.32,1575.3675,1149.835,1651.4675,2234.3775,2891.485,3745.2725,4413.2675
G1700730,6548.6075,1171.46,998.37,1636.1175,2380.87,3149.805,4269.35,5145.94
G1700750,5924.78,1177.415,1019.7575,1616.3625,2231.1125,2804.0875,3501.1325,4235.8775
G1700770,4503.37,1753.1575,383.1975,724.2075,1046.595,1488.125,2223.815,2957.37
G1700790,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1700810,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1700830,4943.7125,1707.3125,542.79,942.3725,1358.63,1826.7375,2670.575,3427.05
G1700850,6780.3125,746.225,1103.235,1784.9,2547.6725,3241.6575,4135.935,4871.985
G1700870,4747.59,1428.555,188.2,513.5,989.2025,1448.91,2070.4325,2883.185
G1700890,6257.68,1039.4575,888.185,1388.3825,1895.9,2571.04,3702.5325,4608.015
G1700910,5825.1275,1260.17,1120.5675,1650.07,2188.6175,2634.2075,3239.025,3932.89
G1700930,6924.675,973.6425,1798.9375,2510.1525,3147.6525,3818.725,4530.86,5303.36
G1700950,6548.6075,1171.46,998.37,1636.1175,2380.87,3149.805,4269.35,5145.94
G1700970,7012.955,783.185,868.455,1560.1675,2336.86,3125.7325,4229.0225,5150.215
G1700990,6924.675,973.6425,1798.9375,2510.1525,3147.6525,3818.725,4530.86,5303.36
G1701010,4655.71,1578.49,344.8925,708.3325,1085.0225,1577.1875,2386.35,3014.6225
G1701030,6400.0075,1023.7375,1439.14,1785.9975,2433.65,3183.275,4064.9125,4779.595
G1701050,6275.325,1042.2525,848.955,1212.305,1790.9275,2541.7575,3783.3225,4631.12
G1701070,5646.945,1330.365,879.295,1375.5325,1990.405,2737.2275,3468.07,4179.755
G1701090,5785.32,1575.3675,1149.835,1651.4675,2234.3775,2891.485,3745.2725,4413.2675
G1701110,6257.68,1039.4575,888.185,1388.3825,1895.9,2571.04,3702.5325,4608.015
G1701130,6275.325,1042.2525,848.955,1212.305,1790.9275,2541.7575,3783.3225,4631.12
G1701150,5650.5075,1301.67,535.7525,905.695,1505.1975,2152.255,2990.215,3980.525
G1701170,5488.32,1437.315,617.4625,1099.65,1662.655,2087.695,2789.86,3850.3925
G1701190,4781.7125,1551.1325,216.52,668.43,1095.61,1631.7625,2372.08,3205.975
G1701210,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1701230,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1701250,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1701270,4011.845,1614.425,82.27,205.885,553.8775,922.075,1599.5825,2386.5175
G1701290,5646.945,1330.365,879.295,1375.5325,1990.405,2737.2275,3468.07,4179.755
G1701310,6548.6075,1171.46,998.37,1636.1175,2380.87,3149.805,4269.35,5145.94
G1701330,4781.7125,1551.1325,216.52,668.43,1095.61,1631.7625,2372.08,3205.975
G1701350,5488.32,1437.315,617.4625,1099.65,1662.655,2087.695,2789.86,3850.3925
G1701370,5646.945,1330.365,879.295,1375.5325,1990.405,2737.2275,3468.07,4179.755
G1701390,5650.5075,1301.67,535.7525,905.695,1505.1975,2152.255,2990.215,3980.525
G1701410,7327.925,980.1725,1838.39,2598.025,3456.9175,4061.48,4999.8475,5864.21
G1701430,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1701450,4503.37,1753.1575,383.1975,724.2075,1046.595,1488.125,2223.815,2957.37
G1701470,5924.78,1177.415,1019.7575,1616.3625,2231.1125,2804.0875,3501.1325,4235.8775
G1701490,5338.615,1179.28,598.39,960.3175,1449.23,1988.98,2922.6875,3779.5725
G1701510,4011.845,1614.425,82.27,205.885,553.8775,922.075,1599.5825,2386.5175
G1701530,4011.845,1614.425,82.27,205.885,553.8775,922.075,1599.5825,2386.5175
G1701550,6400.0075,1023.7375,1439.14,1785.9975,2433.65,3183.275,4064.9125,4779.595
G1701570,5488.32,1437.315,617.4625,1099.65,1662.655,2087.695,2789.86,3850.3925
G1701590,4655.71,1578.49,344.8925,708.3325,1085.0225,1577.1875,2386.35,3014.6225
G1701610,6548.6075,1171.46,998.37,1636.1175,2380.87,3149.805,4269.35,5145.94
G1701630,4781.7125,1551.1325,216.52,668.43,1095.61,1631.7625,2372.08,3205.975
G1701650,4747.59,1428.555,188.2,513.5,989.2025,1448.91,2070.4325,2883.185
G1701670,5646.945,1330.365,879.295,1375.5325,1990.405,2737.2275,3468.07,4179.755
G1701690,5338.615,1179.28,598.39,960.3175,1449.23,1988.98,2922.6875,3779.5725
G1701710,5338.615,1179.28,598.39,960.3175,1449.23,1988.98,2922.6875,3779.5725
G1701730,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1701750,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1701770,7327.925,980.1725,1838.39,2598.025,3456.9175,4061.48,4999.8475,5864.21
G1701790,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1701810,4503.37,1753.1575,383.1975,724.2075,1046.595,1488.125,2223.815,2957.37
G1701830,5924.78,1177.415,1019.7575,1616.3625,2231.1125,2804.0875,3501.1325,4235.8775
G1701850,4655.71,1578.49,344.8925,708.3325,1085.0225,1577.1875,2386.35,3014.6225
G1701870,5785.32,1575.3675,1149.835,1651.4675,2234.3775,2891.485,3745.2725,4413.2675
G1701890,5488.32,1437.315,617.4625,1099.65,1662.655,2087.695,2789.86,3850.3925
G1701910,4895.0675,1564.685,527.4225,870.1825,1248.475,1778.5225,2495.15,3250.2225
G1701930,5195.475,1233.0525,454.5375,791.6175,1242.9675,1888.03,2643.5925,3439.8375
G1701950,6400.0075,1023.7375,1439.14,1785.9975,2433.65,3183.275,4064.9125,4779.595
G1701970,5825.1275,1260.17,1120.5675,1650.07,2188.6175,2634.2075,3239.025,3932.89
G1701990,4747.59,1428.555,188.2,513.5,989.2025,1448.91,2070.4325,2883.185
G1702010,7327.925,980.1725,1838.39,2598.025,3456.9175,4061.48,4999.8475,5864.21
G1702030,6382.14,1079.9325,1376.64,1748.1525,2346.485,3018.2025,3849.8675,4896.0625
G1800010,6638.2625,965.36,1127.4575,1770.1475,2611.985,3349.96,4411.07,5234.495
G1800030,6638.2625,965.36,1127.4575,1770.1475,2611.985,3349.96,4411.07,5234.495
G1800050,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
G1800070,6058.465,1123.9375,1261.3925,1938.725,2639.23,3213.91,3828.2,4473.4
G1800090,5776.495,1195.9825,614.6925,1106.9575,1718.405,2491.595,3298.58,4177.455
G1800110,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
G1800130,5995.7725,1212.2875,1087.3025,1640.14,2393.7675,2866.4025,3683.805,4552.6375
