in.county	hdd	cdd	switchover_lt05	switchover_lt10	switchover_lt15	switchover_lt20	switchover_lt25	switchover_lt30	switchover_lt35	switchover_lt40
G1200590	1457.89	1867.059167	0	0	0	0	6.805	45.3125	143.875	392.0925
G1200610	453.625	2125.235833	0	0	0	0	0	0	3.9975	28.195
G1200630	1457.89	1867.059167	0	0	0	0	6.805	45.3125	143.875	392.0925
G1200650	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1200670	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1200690	864.25	2117.283333	0	0	0	0	0	0	19.575	75.15
G1200710	386.5375	2517.906667	0	0	0	0	0	0	6.725	12.55
G1200730	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1200750	1459.625	1689.898333	0	6.9	15.79	23.6075	58.3075	126.495	273.58	504.1325
G1200770	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1200790	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1200810	760.5675	2043.725	0	0	0	0	0	0	8.325	71.975
G1200830	1459.625	1689.898333	0	6.9	15.79	23.6075	58.3075	126.495	273.58	504.1325
G1200850	856.2025	1844.5075	0	0	0	0	0	0	27.755	105.645
G1200860	236.0125	2717.286667	0	0	0	0	0	0	0	0
G1200870	142.05	3520.7375	0	0	0	0	0	0	0	0
G1200890	1609.215	1598.59	0	0	0	11.415	23.6575	37.495	151.285	397.825
G1200910	2189.6675	1486.856667	0	0	4.175	39.1025	123.54	300.1875	603.0625	925.3025
G1200930	856.2025	1844.5075	0	0	0	0	0	0	27.755	105.645
G1200950	864.25	2117.283333	0	0	0	0	0	0	19.575	75.15
G1200970	788.9275	1878.718333	0	0	0	0	0	0	14.42	57.325
G1200990	411.6975	2349.684167	0	0	0	0	0	0	9.565	12.9925
G1201010	802.0725	2129.471667	0	0	0	0	0	4.545	20.745	97.4775
G1201030	895.7625	2260.82	0	0	0	0	0	12.185	34.81	113.76
G1201050	1162.5875	1956.343333	0	0	0	0	1.6675	18.6675	100.285	239.2475
G1201070	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1201090	1240.7575	1823.531667	0	0	0	0	0	3.0275	57.5175	198.7525
G1201110	856.2025	1844.5075	0	0	0	0	0	0	27.755	105.645
G1201130	1343.0525	1651.131667	0	0	0	0	6.85	31.64	89.2775	204.0125
G1201150	760.5675	2043.725	0	0	0	0	0	0	8.325	71.975
G1201170	943.745	1950.17	0	0	0	0	0	0	25.06	97.19
G1201190	1459.625	1689.898333	0	6.9	15.79	23.6075	58.3075	126.495	273.58	504.1325
G1201210	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1201230	1770.96	1740.529167	0	0	0	0	8.825	24.375	187.915	486.84
G1201250	1551.19	1626.641667	0	0	0	0	0	20.1625	147.565	342.975
G1201270	966.9475	1717.3425	0	0	0	0	12.1225	26.0875	44.1275	97.5875
G1201290	1875.475	1544.925833	0	0	0	3.755	29.69	140.915	347.8575	629.3575
G1201310	2189.6675	1486.856667	0	0	4.175	39.1025	123.54	300.1875	603.0625	925.3025
G1201330	1457.89	1867.059167	0	0	0	0	6.805	45.3125	143.875	392.0925
G1300010	2474.225	1489.879167	0	0	0	1.8775	81.14	244.5125	490.2525	984.16
G1300030	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
G1300050	2474.225	1489.879167	0	0	0	1.8775	81.14	244.5125	490.2525	984.16
G1300070	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
G1300090	2635.1775	1415.545	0	0	0	25.4125	91.65	243.2825	602.565	1104.05
G1300110	2948.11	1027.97	0	0	6.375	62.315	181.8875	362.3125	757.435	1305.705
G1300130	2948.11	1027.97	0	0	6.375	62.315	181.8875	362.3125	757.435	1305.705
G1300150	3948.99	824.0375	12.815	77.825	171.2475	333.6425	582.415	1051.24	1608.32	2261.6325
G1300170	1982.8175	1506.4275	0	0	0	0	13.4	76.9	264.3725	642.155
