in.county	lt_05	05_to_10	10_to_15	15_to_20	20_to_25	25_to_30	30_to_35	35_to_40	gt_40
G4800930	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4800950	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4800970	0	0	24.35	48.28	129.3225	224.71	434.465	619.7425	1486.0975
G4800990	0	0	0	0	71.865	187.96	422.5825	433.4025	1298.1725
G4801010	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4801030	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4801050	0	0	2.125	29.0025	191.4375	324.4975	515.3	505.5425	1266.74
G4801070	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4801090	35.4475	33.245	75.49	67.195	136.395	282.07	490.4975	696.095	1888.305
G4801110	7.74	68.735	122.625	353.0625	567.7	954.3125	989.2575	799.71	1661.54
G4801130	0	0	0	5.6325	67.3125	151.255	238.4	530.04	1515.77
G4801150	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4801170	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4801190	0	19.1075	27.7525	151.95	223.8575	321.7125	488.63	606.88	1450.845
G4801210	0	0	15.295	27.575	79.7125	163.5325	274.6875	566.7075	1439.735
G4801230	0	0	0	0	22.6375	43.5925	85.53	224.7975	1124.5275
G4801250	0	12.0425	50.2325	166.735	305.69	334.8925	592.955	849.0775	1534.3175
G4801270	0	0	0	0	12.115	24.3925	77.1225	130.5375	962.0025
G4801290	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4801310	0	0	0	0	0	7.535	131.8425	167.145	835.5325
G4801330	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4801350	0	0	4.4225	40.6125	138.38	170.8925	405.7875	605.4075	1548.9175
G4801370	0	0	0	0	0	0	20.635	134.2925	1054.0225
G4801390	0	0	19.635	31.7575	81.4025	167.085	168.2925	400.1675	1302.2025
G4801410	0	0	0	0	23.585	101.3825	257.0075	554.3325	1740.8025
G4801430	0	0	0	0	56.9925	250.8075	333.165	561.5625	1490.58
G4801450	2.545	30.7225	56.615	70.44	174.505	252.915	330.7125	405.4175	1266.6175
G4801470	0	0	0	75.72	265.42	347.435	519.155	444.255	1317.0875
G4801490	0	0	0	9.4325	22.285	42.955	178.105	290.7125	1321.7725
G4801510	0	56.79	198.4425	185.1325	270.9625	259.78	320.6375	529.9125	1443.115
G4801530	0	25.8575	77.91	156.305	414.955	577	855.1425	777.355	1680.3175
G4801550	0	14.52	19.785	97.5875	132.725	305.08	514.3675	800.2075	1763.995
G4801570	0	0	0	0	0	0	6.4325	95.1	1078.11
G4801590	0	19.1075	27.7525	151.95	223.8575	321.7125	488.63	606.88	1450.845
G4801610	0	0	2.125	38.735	64.91	134.2325	328.365	502.505	1426.555
G4801630	0	0	0	0	12.115	24.3925	77.1225	130.5375	962.0025
